G",10.000,"$10,000 to $12,499","N","N","N","N"
"B20005G",11.000,"$12,500 to $14,999","N","N","N","N"
"B20005G",12.000,"$15,000 to $17,499","N","N","N","N"
"B20005G",13.000,"$17,500 to $19,999","N","N","N","N"
"B20005G",14.000,"$20,000 to $22,499","N","N","N","N"
"B20005G",15.000,"$22,500 to $24,999","N","N","N","N"
"B20005G",16.000,"$25,000 to $29,999","N","N","N","N"
"B20005G",17.000,"$30,000 to $34,999","N","N","N","N"
"B20005G",18.000,"$35,000 to $39,999","N","N","N","N"
"B20005G",19.000,"$40,000 to $44,
