"
"B20005D",86.000,"$25,000 to $29,999","N","N","N","N"
"B20005D",87.000,"$30,000 to $34,999","N","N","N","N"
"B20005D",88.000,"$35,000 to $39,999","N","N","N","N"
"B20005D",89.000,"$40,000 to $44,999","N","N","N","N"
"B20005D",90.000,"$45,000 to $49,999","N","N","N","N"
"B20005D",91.000,"$50,000 to $54,999","N","N","N","N"
"B20005D",92.000,"$55,000 to $64,999","N","N","N","N"
"B20005D",93.000,"$65,000 to $74,999","N","N","N","N"
"B20005D",94.000,"$75,000 to $99,999","N","N","N","N"
"B20005D",95.000,"$100,0
